Turn,6.0,6.25,6.5,6.75,7.0,7.25,7.3,7.4,7.5,7.6,7.75,8.0
1,22.08,22.97,23.91,24.81,25.79,26.70,26.89,27.25,27.61,28.00,28.53,29.52
2,40.86,42.36,43.91,45.39,47.04,48.55,48.85,49.51,50.16,50.82,51.71,53.43
3,56.82,58.72,60.67,62.52,64.56,66.43,66.78,67.68,68.58,69.44,70.60,72.80
4,70.38,72.53,74.70,76.77,79.00,81.06,81.42,82.51,83.62,84.63,85.99,88.49
5,81.90,84.18,86.45,88.62,90.90,93.03,93.37,94.62,95.90,97.02,98.53,101.20
6,91.69,94.01,96.29,98.48,100.71,102.82,103.13,104.51,105.93,107.13,108.75,111.49
7,100.00,102.30,104.53,106.68,108.79,110.83,111.10,112.58,114.12,115.38,117.08,119.82
8,107.06,109.29,111.43,113.50,115.45,117.38,117.61,119.17,120.81,122.11,123.87,126.57
9,113.06,115.19,117.21,119.17,120.94,122.74,122.92,124.55,126.27,127.60,129.40,132.04
10,118.15,120.17,122.05,123.89,125.46,127.13,127.26,128.94,130.73,132.08,133.91,136.47
